"Dependency","Version","License"
"@angular/common","21.2.0","MIT"
"@angular/compiler","21.2.0","MIT"
"@angular/core","21.2.0","MIT"
"@angular/forms","21.2.0","MIT"
"@angular/platform-browser","21.2.0","MIT"
"@angular/router","21.2.0","MIT"
"@apidevtools/json-schema-ref-parser","9.1.2","MIT"
"@apidevtools/openapi-schemas","2.1.0","MIT"
"@apidevtools/swagger-methods","3.0.2","MIT"
"@apidevtools/swagger-parser","10.0.3","MIT"
"@emnapi/core","1.8.1","MIT"
"@emnapi/runtime","1.8.1","MIT"
"@emnapi/wasi-threads","1.1.0","MIT"
"@jsdevtools/ono","7.1.3","MIT"
"@scarf/scarf","1.4.0","Apache-2.0"
"@standard-schema/spec","1.1.0","MIT"
"@tybys/wasm-util","0.10.1","MIT"
"@types/json-schema","7.0.15","MIT"
"accepts","2.0.0","MIT"
"ansi-styles","4.3.0","MIT"
"argparse","2.0.1","Python-2.0"
"balanced-match","1.0.2","MIT"
"base64-js","1.5.1","MIT"
"better-sqlite3","12.6.2","MIT"
"bindings","1.5.0","MIT"
"bl","4.1.0","MIT"
"body-parser","2.2.2","MIT"
"brace-expansion","1.1.12","MIT"
"buffer","5.7.1","MIT"
"bytes","3.1.2","MIT"
"call-me-maybe","1.0.2","MIT"
"chalk","4.1.2","MIT"
"chownr","1.1.4","ISC"
"cliui","8.0.1","ISC"
"color-convert","2.0.1","MIT"
"color-name","1.1.4","MIT"
"commander","6.2.0","MIT"
"commander","9.5.0","MIT"
"concat-map","0.0.1","MIT"
"concurrently","9.2.1","MIT"
"content-disposition","1.0.1","MIT"
"content-type","1.0.5","MIT"
"cookie-signature","1.2.2","MIT"
"cookie","0.7.2","MIT"
"cors","2.8.6","MIT"
"debug","4.4.3","MIT"
"decompress-response","6.0.0","MIT"
"deep-extend","0.6.0","MIT"
"depd","2.0.0","MIT"
"detect-libc","2.1.2","Apache-2.0"
"doctrine","3.0.0","Apache-2.0"
"emoji-regex","8.0.0","MIT"
"encodeurl","2.0.0","MIT"
"end-of-stream","1.4.5","MIT"
"escalade","3.2.0","MIT"
"escape-html","1.0.3","MIT"
"esutils","2.0.3","BSD-2-Clause"
"etag","1.8.1","MIT"
"expand-template","2.0.3","MIT"
"express","5.2.1","MIT"
"file-uri-to-path","1.0.0","MIT"
"finalhandler","2.1.1","MIT"
"forwarded","0.2.0","MIT"
"fresh","2.0.0","MIT"
"fs-constants","1.0.0","MIT"
"fs.realpath","1.0.0","ISC"
"get-caller-file","2.0.5","ISC"
"github-from-package","0.0.0","MIT"
"glob","7.1.6","ISC"
"has-flag","4.0.0","MIT"
"http-errors","2.0.1","MIT"
"iconv-lite","0.7.2","MIT"
"ieee754","1.2.1","BSD-3-Clause"
"inflight","1.0.6","ISC"
"inherits","2.0.4","ISC"
"ini","1.3.8","ISC"
"ipaddr.js","1.9.1","MIT"
"is-fullwidth-code-point","3.0.0","MIT"
"is-promise","4.0.0","MIT"
"js-yaml","4.1.1","MIT"
"lodash.get","4.4.2","MIT"
"lodash.isequal","4.5.0","MIT"
"lodash.mergewith","4.6.2","MIT"
"merge-descriptors","2.0.0","MIT"
"mime-types","3.0.2","MIT"
"mimic-response","3.1.0","MIT"
"minimatch","3.1.5","ISC"
"minimist","1.2.8","MIT"
"mkdirp-classic","0.5.3","MIT"
"ms","2.1.3","MIT"
"napi-build-utils","2.0.0","MIT"
"negotiator","1.0.0","MIT"
"node-abi","3.87.0","MIT"
"object-assign","4.1.1","MIT"
"on-finished","2.4.1","MIT"
"once","1.4.0","ISC"
"openapi-types","12.1.3","MIT"
"parseurl","1.3.3","MIT"
"path-is-absolute","1.0.1","MIT"
"path-to-regexp","8.3.0","MIT"
"prebuild-install","7.1.3","MIT"
"proxy-addr","2.0.7","MIT"
"pump","3.0.3","MIT"
"qs","6.15.0","BSD-3-Clause"
"range-parser","1.2.1","MIT"
"raw-body","3.0.2","MIT"
"rc","1.2.8","BSD-2-Clause"
"readable-stream","3.6.2","MIT"
"require-directory","2.1.1","MIT"
"router","2.2.0","MIT"
"rxjs","7.8.2","Apache-2.0"
"safe-buffer","5.2.1","MIT"
"safer-buffer","2.1.2","MIT"
"semver","7.7.3","ISC"
"send","1.2.1","MIT"
"serve-static","2.2.1","MIT"
"shell-quote","1.8.3","MIT"
"simple-concat","1.0.1","MIT"
"simple-get","4.0.1","MIT"
"statuses","2.0.2","MIT"
"string-width","4.2.3","MIT"
"strip-ansi","6.0.1","MIT"
"strip-json-comments","2.0.1","MIT"
"supports-color","7.2.0","MIT"
"supports-color","8.1.1","MIT"
"swagger-jsdoc","6.2.8","MIT"
"swagger-parser","10.0.3","MIT"
"swagger-ui-dist","5.31.0","Apache-2.0"
"swagger-ui-express","5.0.1","MIT"
"tar-fs","2.1.4","MIT"
"tar-stream","2.2.0","MIT"
"tree-kill","1.2.2","MIT"
"tslib","2.8.1","0BSD"
"tunnel-agent","0.6.0","Apache-2.0"
"type-is","2.0.1","MIT"
"unpipe","1.0.0","MIT"
"validator","13.15.26","MIT"
"vary","1.1.2","MIT"
"wrap-ansi","7.0.0","MIT"
"wrappy","1.0.2","ISC"
"y18n","5.0.8","ISC"
"yaml","2.0.0-1","ISC"
"yargs-parser","21.1.1","ISC"
"yargs","17.7.2","MIT"
"z-schema","5.0.5","MIT"
